original_title,overview,popularity,release_year,emotions,genre_name,overview_length,word_count,excalamation_count
Gespenster,"Nina, an end-of-teenage orphan with mental problems, starts a new job as a garden cleaner when she meets Toni. They fell in love with each other, but soon Toni starts betraying Nina. In the meantime, Francoise is picked up at a psychic department of a Berlin hospital by her husband, Pierre. After seeing Nina, Francoise believes that she has found her kidnapped daughter Marie, but neither Toni nor Pierre believe her. Nina is unsure about what to think...",2.403,2005,uplifting,Drama,0.0,78.0,0.0
Frida,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",19.037,2002,intense,"Drama,Romance",0.0,21.0,0.0
Shortbus,"A group of New Yorkers caught up in their romantic/sexual milieu converge at Shortbus, an underground Brooklyn salon infamous for its blend of art, music, politics, and carnality, and loosely inspired by various underground NYC gatherings that took place in the early 2000s. Here, gay couple Jamie (PJ DeBoy) and James (Paul Dawson) meet Ceth (Jay Brannan), a young ex-model and aspiring singer.",15.357,2006,uplifting,"Romance,Drama,Comedy",0.0,63.0,0.0
Y tu mamá también,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",24.511,2001,uplifting,"Drama,Romance",0.0,28.0,0.0
Breakfast on Pluto,"In the 1970s, a foundling lass, Patrick ""Kitten"" Braden, comes of age by leaving her Irish town for London, in part to look for her mother and in part because her transgender nature is beyond the town's understanding.",13.405,2005,uplifting,"Drama,Comedy",0.0,38.0,0.0
Imagine Me & You,"During her wedding ceremony, Rachel notices Luce in the audience and feels instantly drawn to her. The two women become close friends, and when Rachel learns that Luce is a lesbian, she realizes that despite her happy marriage to Heck, she is falling for Luce. As she questions her sexual orientation, Rachel must decide between her stable relationship with Heck and her exhilarating new romance with Luce.",17.317,2005,uplifting,"Drama,Comedy,Romance",0.0,67.0,0.0
Little Buddha,"After the death of Lama Dorje, Tibetan Buddhist monks find three children — one American and two Nepalese — who may be the rebirth of their great teacher.",11.549,1993,intense,"Drama,History",0.0,28.0,0.0
Les Biches,Architect Paul Thomas insinuates himself into the relationship of two bisexual women living in a St. Tropez villa with tragic consequences.,3.861,1968,dark,"Drama,Romance",0.0,21.0,0.0
Velvet Goldmine,"Almost a decade has elapsed since Bowiesque glam-rock superstar Brian Slade escaped the spotlight of the London scene. Now, investigative journalist Arthur Stuart is on assignment to uncover the truth behind the enigmatic Slade. Stuart, himself forged by the music of the 1970s, explores the larger-than-life stars who were once his idols and what has become of them since the turn of the new decade.",11.393,1998,uplifting,"Drama,Music",0.0,65.0,0.0
The Rules of Attraction,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",11.048,2002,uplifting,"Comedy,Drama,Romance",0.0,27.0,0.0
Nowhere,"In Los Angeles, a colorful assortment of bohemians try to make sense of their intersecting lives. The moody Dark Smith, his bisexual girlfriend, her lesbian lover and their shy gay friend plan on attending the wildest party of the year. But they'll only make it if they can survive the drug trips, suicides, trysts, mutilations and alien abductions that occur as one surreal day unfolds.",9.486,1997,uplifting,"Science Fiction,Drama,Comedy",0.0,65.0,0.0
Trick,"Gabriel is a young, aspiring musical composer whose life seems stuck in the First Act. When his new musical number gets a critical reception, a theatre colleague, Perry, tells Gabriel that he needs to get a life before he can write about one – so he heads straight for his local gay bar.",4.864,1999,uplifting,"Comedy,Romance",0.0,53.0,0.0
The Big Sleep,"Private eye Philip Marlowe (Robert Mitchum) investigates a case of blackmail involving the two wild daughters of a rich general, a pornographer and a gangster. This neo-noir remake of the iconic 1946 Bogart film transfers the setting of Raymond Chandler's novel from 1940s California to 1970s London.",6.772,1978,dark,"Thriller,Crime",0.0,47.0,0.0
A Chorus Line,"A group of dancers congregate on the stage of a Broadway theatre to audition for a new musical production directed by Zach. After the initial eliminations, seventeen hopefuls remain, among them Cassie, who once had a tempestuous romantic relationship with Zach. She is desperate enough for work to humble herself and audition for him; whether he's willing to let professionalism overcome his personal feelings about their past remains to be seen.",10.786,1985,uplifting,"Drama,Music",0.0,71.0,0.0
Rent,"This rock opera tells the story of one year in the life of a group of bohemians struggling in late 1980s East Village, New York, USA. The film centers around Mark and Roger, two roommates. While a  tragedy has made Roger numb to new experiences, Mark begins capturing their world through his attempts to make a personal movie. In the year that follows, they and their friends deal with love, loss, and working together.",11.242,2005,uplifting,"Drama,Romance",0.0,74.0,0.0
Drømmen,A drama about a boy who's inspired by Dr. Martin Luther King Jr. and challenges repressive school authority in 1969 Denmark.,3.446,2006,uplifting,Drama,0.0,21.0,0.0
Alexander,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",25.173,2004,intense,"War,History,Action,Adventure,Drama,Romance",0.0,39.0,0.0
Aimee & Jaguar,"In 1943, while the Allies are bombing Berlin and the Gestapo is purging the capital of Jews, a dangerous love affair blossoms between two women – one a Jewish member of the underground, the other an exemplar of Nazi motherhood.",7.681,1999,uplifting,"Drama,History,Romance",0.0,40.0,0.0
Chasing Amy,"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",11.947,1997,dark,"Comedy,Drama,Romance",0.0,38.0,0.0
L'homme blessé,"Henri is a lonely, isolated young man who lets no one get close to him. He meets a street hustler and comes out of his shell, going 180 degrees into gay obsession. Though he has yet to physically approach the object of his affection, Henri builds up so much unrequited lust that it explodes with horrible results.",3.487,1983,dark,"Romance,Crime,Drama",0.0,57.0,0.0
"The Adventures of Priscilla, Queen of the Desert","Two drag queens and a transgender woman contract to perform a drag show at a resort in Alice Springs, a town in the remote Australian desert. As they head west from Sydney aboard their lavender bus, Priscilla, the three friends come to the forefront of a comedy of errors, encountering a number of strange characters, as well as incidents of homophobia, whilst widening comfort zones and finding new horizons.",12.487,1994,uplifting,"Drama,Comedy",0.0,69.0,0.0
And the Band Played On,The story of the discovery of the AIDS epidemic and the political infighting of the scientific community hampering the early fight with it.,6.038,1993,uplifting,"Drama,TV Movie",0.0,23.0,0.0
As Good as It Gets,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",18.489,1997,dark,"Comedy,Romance",0.0,57.0,0.0
The First Wives Club,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!",12.065,1996,uplifting,Comedy,0.0,53.0,1.0
Moon 44,"Year 2038: The mineral resources of the earth are drained, in space there are fights for the last deposits on other planets and satellites. This is the situation when one of the bigger mining corporations has lost all but one mineral moons and many of their fully automatic mining robots are disappearing on their flight home. Since nobody else wants the job, they send prisoners to defend the mining station. Among them undercover agent Stone, who shall clear the whereabouts of the expensive robots. In an atmosphere of corruption, fear and hatred he gets between the fronts of rivaling groups.",5.895,1990,uplifting,Science Fiction,0.0,100.0,0.0
Gods and Monsters,"It's 1957, and James Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",9.998,1998,uplifting,Drama,0.0,63.0,0.0
Ludwig,"Historical evocation of Ludwig, king of Bavaria, from his crowning in 1864 until his death in 1886, as a romantic hero. Fan of Richard Wagner, betrayed by him, in love with his cousin Elisabeth of Austria, abandoned by her, tormented by his homosexuality, he will little by little slip towards madness.",8.46,1973,uplifting,"Drama,History",0.0,51.0,0.0
Candy Boy,"Children are mysteriously falling ill at an orphanage. Candy Boy, the most valiant of the orphans, investigates, but the arrival of a new boarder complicates his inquiries.",1.642,2007,dark,Animation,0.0,27.0,0.0
I Now Pronounce You Chuck & Larry,"Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core—which is why when widower Larry asks Chuck to pose as his gay lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss.",63.963,2007,uplifting,"Comedy,Romance",0.0,61.0,0.0
Tenue de soirée,"Bickering couple Monique and Antoine are interrupted by bisexual burglar Bob while fighting in a bar. With husband and wife in need of cash, Bob teaches them the most efficient house burglary methods. Monique is attracted to the charismatic thief, but Bob is more interested in Antoine, who eventually succumbs to his attentions. As the trio continues living together, Monique grows unhappy about being ignored by both men.",6.723,1986,dark,"Comedy,Crime,Drama",0.0,68.0,0.0
Riparo,"Anna and Mara return from a holiday abroad, and realize that Anis, a young Moroccan immigrant, managed to hide in their car in order to cross the border to Italy. At first unsure of what to do, they then decide to take him with them.",1.562,2007,intense,"Drama,Romance",0.0,45.0,0.0
Les Valseuses,"Two whimsical, aimless thugs harass and assault women, steal, murder, and alternately charm, fight, or sprint their way out of trouble. They take whatever the bourgeoisie holds dear, whether it’s cars, peace of mind, or daughters. Marie-Ange, a jaded, passive hairdresser, joins them as lover, cook, and mother confessor. She’s on her own search for seemingly unattainable sexual pleasure.",11.157,1974,dark,"Comedy,Drama",0.0,59.0,0.0
Préparez vos mouchoirs,"Solange is depressed: she's stopped smiling, she eats little, she says less. She has fainting fits. Her husband Raoul seeks to save her by enlisting Stephane, a stranger, to be her lover. Although he listens to Mozart and has every Pocket Book arranged in alphabetical order, Stephane fails to cheer Solange. She knits. She does housework. Everyone, including their neighbor a vegetable vendor, agrees that she needs a child, yet she fails to get pregnant by either lover. The three take a job running a kids' summer camp where they meet Christian, the precocious 13-year-old son of the local factory manager. It is Christian who restores Solange to laughter",7.657,1978,uplifting,"Romance,Comedy,Drama",0.0,109.0,0.0
Juste une question d'amour,"After his gay cousin dies from hepatitis, young Laurent, who lives with his best friend Carole, falls in love with Cedric, a plant scientist. He's afraid to inform his conservative parents that he is gay.",6.182,2000,uplifting,"Drama,Romance",0.0,35.0,0.0
La Banquière,"The scene is the restless Paris of the interwar years where an attractive and ambitious woman successfully makes her way in a world previously reserved for men: that of high finance. Originating from a humble background, she quickly becomes popular with small savers by offering them outstanding interest rates. Extremely popular, she makes no secret of her taste for the good things in life and her homosexual affairs. They will cost her dearly...",3.205,1980,uplifting,"Drama,Comedy",0.0,73.0,0.0
Ein Leben lang kurze Hosen tragen,"A serial killer dispassionately discusses the nuts and bolts of his grisly avocation, as well as the youthful traumas which helped to mold him into a psychopath, in this disturbing independent drama from Germany, based on the true story of of Germany's most famous child murderer Juergen Bartsch who, between the ages of 15 and 19, abused, tortured and killed four schoolboys in the Ruhr region of Germany from 1962 to 1966.",1.478,2002,uplifting,"Crime,Drama",0.0,72.0,0.0
Wambo,No overview found.,0.697,2001,uplifting,Drama,0.0,3.0,0.0
Herzensschrei,No overview found.,0.63,2010,uplifting,"Drama,Thriller",0.0,3.0,0.0
La Cage aux folles,Two gay men living in St. Tropez have their lives turned upside down when the son of one of the men announces he is getting married. They try to conceal their lifestyle and their ownership of the transvestite club downstairs when the fiancée and her parents come for dinner.,7.677,1978,uplifting,Comedy,0.0,49.0,0.0
"Pepi, Luci, Bom y otras chicas del montón","After a young heiress is assaulted by a policeman, she seeks revenge by befriending the policeman’s mousy wife and introducing her to her circle of outrageous punk friends.",6.885,1980,intense,"Comedy,Drama",0.0,28.0,0.0
Elizabeth: The Golden Age,"When Queen Elizabeth's reign is threatened by ruthless familial betrayal and Spain's invading army, she and her shrewd adviser must act to safeguard the lives of her people.",11.928,2007,uplifting,"Drama,History,Romance",0.0,28.0,0.0
Elizabeth,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",11.129,1998,uplifting,"Drama,History",0.0,39.0,0.0
Die weibchen,A young woman joins an exclusive women's health clinic only to discover it's run by feminist cannibals.,1.141,1970,intense,"Crime,Drama,Horror",0.0,17.0,0.0
Pourvu qu'on ait l'ivresse,"The tormented loves of the young Ottavio, first for the countess Gamiani and then for the writer Georges Sand.",0.945,1974,uplifting,Drama,0.0,19.0,0.0
Heat,"Former child star Joe Davis, reduced to living in a cheap Hollywood motel while struggling for acting jobs, is lusted after by nearly every woman he meets, including Jessica Todd, a tightly wound feminist who has recently come out as a lesbian. When Jessica's mother, Sally, an emotionally needy has-been actress, meets Joe, she moves him into her enormous, tacky mansion as her new boy toy and attempts to get him acting work.",1.711,1972,dark,"Comedy,Drama",0.0,73.0,0.0
Je t'aime moi non plus,"The petite waitress Johnny works and lives in a truck-stop, where she's lonely and longs for love. She develops a crush on the garbage truck driver Krassky, although her sleazy boss Boris warns her that he's gay.",6.341,1976,dark,Drama,0.0,37.0,0.0
Grande école,"Paul and Agnes have been going out for quite a while and Agnes is shocked to learn that he'd rather live with two roommates on campus than move in with her. As soon as he meets one of his roommates, Louis-Anault, Paul's behavior changes - he is attracted to Louis without realizing so himself. Agnes, on the other hand, gets quite jealous and offers a bet: Whoever gets to have Louis-Anault first, wins... If she does, Paul will no longer explore his homosexual desires, if he does - she'll walk away. Meanwhile, Paul meets Mecir, a young Arab worker, who shows him there's more to life than elite colleges...",5.252,2004,uplifting,"Comedy,Drama,Romance",0.0,109.0,0.0
Masculin féminin,"Paul, a young idealist trying to figure out what he wants to do with his life, takes a job interviewing people for a marketing research firm. He moves in with aspiring pop singer Madeleine. Paul, however, is disillusioned by the growing commercialism in society, while Madeleine just wants to be successful. The story is told in a series of 15 unrelated vignettes.",8.77,1966,uplifting,"Drama,Romance",0.0,62.0,0.0
Edge of Seventeen,"From Toni Basil to the Eurythmics, from friendship bracelets to whip-it's, the summer of 1984 was about as 80s as the 80s ever got. Stuck right in the middle of it is Eric Hunter, heading towards his senior year, and passing the summer working at a local amusement park in the fast food restaurant. He is joined by his long time girl/friend Maggie, as they don their ugly brown polyester uniforms and face the world.",6.986,1998,uplifting,"Comedy,Drama,Romance",0.0,75.0,0.0
Love Is the Devil: Study for a Portrait of Francis Bacon,"Biography of the British painter Francis Bacon. The movie focuses on his relationship with George Dyer, his lover. Dyer was a former small time crook.",6.049,1998,dark,Drama,0.0,25.0,0.0
Before Night Falls,"Spanning several decades, this powerful biopic offers a glimpse into the life of famed Cuban poet and novelist Reinaldo Arenas, an artist who was vilified for his homosexuality in Fidel Castro's Cuba.",11.927,2000,intense,Drama,0.0,32.0,0.0
Three of Hearts,A lesbian hires a male escort to break the heart of the bisexual woman who has just dumped her.,3.234,1993,uplifting,"Comedy,Drama,Romance",0.0,19.0,0.0
Strákarnir okkar,The star player of Icelands top football team causes a stir when he admits to being gay to his team mates and then goes on a journey to discover himself (with the help of the local press). He soon finds himself on the bench for most of his teams matches and decides to call it quits and join a small amateur team made up of men like himself - gay guys trying to play football in a straight world of Icelandic fishing culture machoism,2.021,2005,uplifting,"Drama,Comedy",0.0,84.0,0.0
Salò o le 120 giornate di Sodoma,"Four corrupted fascist libertines round up 9 teenage boys and girls and subject them to 120 days of sadistic physical, mental and sexual torture.",51.102,1975,dark,"War,Horror,Drama,History",0.0,24.0,0.0
Quante volte... quella notte,"A night of attempted seduction is recalled from the perspectives of the woman, the man, a lecherous doorman and a psychoanalyst.",3.693,1971,dark,"Comedy,Romance",0.0,21.0,0.0
Testosterone,"Dean has been stumped for some time in his attempt to produce a follow-up to ""I was a Teenage Speed Freak,"" his incredibly successful graphic novel. His fans expect great things from him and his editor, Louise, is hounding him. Instead of working, however, Dean spends his time searching for his Argentine lover Pablo, who went out one night for cigarettes and never came back.",4.368,2003,calm,"Drama,Comedy,Mystery",0.0,65.0,0.0
Circuit,"John, a gay Illinois small town cop moves to Los Angeles, hoping to fit into a place more welcoming of his sexuality. He soon discovers the ""circuit,"" where he meets an insecure hustler, who draws John into drug abuse and illicit sex.",2.837,2001,dark,"Romance,Drama",0.0,42.0,0.0
"Sappho, Darling","A pretty young girl named Sappho is, despite her boyfriend's best efforts, determined to remain a virgin until she marries. One day she picks up a beautiful, busty hitchhiker named Brigitte, and finds herself attracted to the sexy young blonde.",0.6,1968,uplifting,Drama,0.0,40.0,0.0
Männer wie wir,"Ecki is a sweet, closeted gay man who works in his family’s bakery and plays goalie in his small town’s soccer team. When he both loses the big game, and is caught flirting with another player, his homophobic teammates throw him out. He vows to return one day with an all-gay team that will grind the heteros into the dust, so he sets off to find his “dream team.” With the help of his nurse sister, Ecki scours local gay bars and eventually assembles a hilariously motley but endearing crew of misfits that includes a leather-daddy threesome, a femme Turk with Beckham fantasies, a secret straight guy in love with the sister, and a seriously cute nurse eager for some private play-time with the goalie. Ecki now has two problems – turning this bunch into a team, and facing his own fears regarding his first romance.",2.5,2004,uplifting,"Comedy,Romance",0.0,146.0,0.0
"Can I Be Your Bratwurst, Please?","A newly arrived guest of a Hollywood hotel charms and amazes the regulars, and they decide to invite him to their Christmas dinner.",1.343,1999,uplifting,"Comedy,Horror",0.0,23.0,0.0
Nettoyage à sec,A bored couple takes in a young man who turns their lives inside out,2.15,1997,intense,Drama,0.0,14.0,0.0
Premières neiges,"On Christmas Eve, Léa and Juliette, a couple, want to rob a supermarket that Juliette knows is empty of surveillance on this festive evening. But, as much for each of them as for Eric, the vigil who is there after all, nothing will happen as planned. Besides, shortly before leaving him alone, the store manager gave Eric a gun, just in case.",1.349,1999,intense,Drama,0.0,62.0,0.0
Love and Other Disasters,"Flighty Emily ""Jacks"" Jackson works for the British edition of Vogue magazine. Rather than pursue a relationship, Jacks regularly hooks up with her devoted ex-boyfriend, James Wildstone, and lives with Peter Simon, a gay screenwriter. When Jacks meets Argentinian photographer's assistant Paolo Sarmiento, she assumes he is gay and tries to bring him and Peter together, unaware that Paolo is straight and in love with her.",11.958,2006,uplifting,"Comedy,Romance",0.0,66.0,0.0
Ich bin meine eigene Frau,"The life story of Charlotte von Mahlsdorf, who survived the Nazi reign as a trans woman and helped start the German gay liberation movement. Documentary with some dramatized scenes. Two actors play the young and middle aged Charlotte and she plays herself in the later years.",1.643,1992,calm,"Drama,Documentary",0.0,46.0,0.0
Lonesome Cowboys,Five lonesome cowboys get all hot and bothered at home on the range after confronting Ramona Alvarez and her nurse.,1.099,1968,intense,"Western,Comedy,Crime,Drama",0.0,20.0,0.0
When Night Is Falling,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",10.244,1995,uplifting,"Drama,Romance",0.0,29.0,0.0
La tourneuse de pages,"Mélanie Prouvost, a ten-year-old butcher's daughter, is a gifted pianist. That is why she and her parents decide that she sit for the Conservatory entrance exam. Although Mélanie is very likely to be admitted, she unfortunately gets distracted by the president of the jury's offhand attitude and she fails. Ten years later, Mélanie becomes her page turner, waiting patiently for her revenge.",5.574,2006,dark,"Drama,Music",0.0,62.0,0.0
Torch Song Trilogy,"A very personal story that is both funny and poignant, TORCH SONG TRILOGY chronicles a New Yorker's search for love, respect and tradition in a world that seems not especially made for him.",5.516,1988,uplifting,"Comedy,Drama,Romance",0.0,33.0,0.0
Top of the Food Chain,"An isolated Canadian town (populated by the weirdest group of people this side of Saturn) has seen its share of problems. First the nut factory closed, then the CATV antenna stopped broadcasting, and now something is gruesomely devouring the townsfolk! Can visiting atomic scientist (and expert on ""cool fusion"") Dr. Karel Lamonte solve the mystery before everyone disappears?",2.514,1999,uplifting,"Comedy,Horror,Science Fiction",1.0,58.0,1.0
The Fashionistas,"A famous fashion designer, searching for a hot new ""bondage"" look, comes across a design house called The Fashionistas. Unbeknownst to him, the firm's owner is determined to seduce him--not only to get him to buy her line, but also because she knows he can get her into the strange world of underground S&M clubs.",5.916,2002,uplifting,Thriller,0.0,55.0,0.0
I Love You Phillip Morris,"Steve Russell is a small-town cop. Bored with his bland lifestyle, Russell turns to fraud as a means of shaking things up. Before long, Russell's criminal antics have landed him behind bars, where he encounters the charismatic Phillip Morris. Smitten, Russell devotes his entire life to being with Morris regardless of the consequences.",11.982,2009,dark,"Comedy,Drama,Romance",0.0,53.0,0.0
Echte Kerle,"Christoph, cop and self-confident macho, has trouble with his fiance. After a long night he wakes up in the arms of Edgar, a good-looking, gay auto-mechanic. His live gets more and more troublesome after his girl friend throws him out of their apartment and as last resort he moves to Edgars place. Working together with a new, good-looking, very self-confident, female collegue, but living with a good-looking gay guy makes him pretty uncertain about his sexuality and his role as a cop. Written by Konstantin Articus",1.9,1996,intense,Comedy,0.0,86.0,0.0
Femme Fatale,"A woman tries to straighten out her life, even as her past as a con-woman comes back to haunt her.",20.02,2002,intense,"Thriller,Crime,Romance",0.0,20.0,0.0
Bound,"Corky, a tough female ex-convict working on an apartment renovation in a Chicago building, meets a couple living next door, Caesar, a paranoid mobster, and Violet, his seductive girlfriend, who is immediately attracted to her.",17.886,1996,uplifting,"Drama,Thriller",0.0,35.0,0.0
องค์บาก,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",51.995,2003,intense,"Action,Thriller",0.0,31.0,0.0
Boys on the Side,"After breaking up with her girlfriend, a nightclub singer, Jane, answers a personal ad from Robin, a real estate agent with AIDS, seeking a cross-country travel partner. On their journey from New York City to Los Angeles, the two stop by Pittsburgh to pick up Robin's friend Holly, who is trying to escape an abusive relationship. With three distinct personalities, the women must overcome their differences to help one another.",7.104,1995,uplifting,"Comedy,Drama",0.0,70.0,0.0
The Full Monty,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",9.593,1997,uplifting,Comedy,0.0,23.0,0.0
Go,"Grocery store clerk Simon occasionally sells drugs from his cash register at work, so when soap opera actors Adam and Zack come looking for Ecstasy on a quiet Christmas Eve, they are surprised to find Ronna covering his shift. Desperate for money, Ronna decides to become an impromptu drug dealer, unaware that Adam and Zack are secretly working for obsessed narcotics officer Burke.",14.475,1999,uplifting,"Crime,Comedy,Thriller",0.0,63.0,0.0
Apt Pupil,"One day in 1984, Todd Bowden, a brilliant high school boy fascinated by the history of Nazism, stumbles across an old man whose appearance resembles that of Kurt Dussander, a wanted Nazi war criminal. A month later, Todd decides to knock on his door.",11.762,1998,dark,"Drama,Thriller",0.0,44.0,0.0
Caligola,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more.",30.183,1979,dark,"Drama,History,Romance",0.0,51.0,0.0
